version,flow_code,region_code,unit_reference,value,unit_emission,metric
v2.1.6,C_ALUO,IN,Meuro,109.2289400058,tonnes CO2eq,GWP100
v2.1.6,C_ALUO,MX,Meuro,1084.1007193026,tonnes CO2eq,GWP100
v2.1.6,C_ALUO,RU,Meuro,164.018768851,tonnes CO2eq,GWP100
v2.1.6,C_ALUO,TR,Meuro,71.2818544032,tonnes CO2eq,GWP100
v2.1.6,C_ALUO,US,Meuro,625.5307076495,tonnes CO2eq,GWP100
v2.1.6,C_ALUO,WA,Meuro,167.7550981077,tonnes CO2eq,GWP100
v2.1.6,C_ALUO,WE,Meuro,88.5878936313,tonnes CO2eq,GWP100
v2.1.6,C_ALUO,WF,Meuro,56.0895483754,tonnes CO2eq,GWP100
v2.1.6,C_ALUO,WL,Meuro,183.5932720458,tonnes CO2eq,GWP100
v2.1.6,C_ALUO,WM,Meuro,40.7365272683,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,AT,Meuro,-18546.3512481982,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,AU,Meuro,-17497.5087532627,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,BE,Meuro,-17301.2454805731,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,BG,Meuro,-9153.8792603656,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,BR,Meuro,-17708.4423399564,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,CA,Meuro,-23667.5855242322,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,CH,Meuro,-52302.7592828921,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,CN,Meuro,-46500.510876938,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,CZ,Meuro,-35149.3928271084,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,DE,Meuro,-17667.1057121443,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,DK,Meuro,-4538.1851407323,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,ES,Meuro,-28262.849567893,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,FI,Meuro,-12801.6864723777,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,FR,Meuro,-9848.8706615115,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,GB,Meuro,-35137.6016787775,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,GR,Meuro,-17569.6818308992,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,HR,Meuro,-5803.2117532659,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,HU,Meuro,-24839.5899347224,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,ID,Meuro,-10835.9868677265,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,IE,Meuro,-7384.5776479571,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,IN,Meuro,-20902.7881057499,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,IT,Meuro,-14569.6243494557,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,JP,Meuro,-24863.8116099031,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,KR,Meuro,-99711.3749993622,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,MX,Meuro,-32059.6008252339,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,NL,Meuro,-25081.3280873274,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,NO,Meuro,-6664.8820327388,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,PL,Meuro,-20101.6196868936,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,PT,Meuro,-42732.7802224559,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,RO,Meuro,-6427.4958544865,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,RU,Meuro,-39580.6691195895,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,SE,Meuro,-8156.7391397718,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,SI,Meuro,-28465.9942213716,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,TR,Meuro,-47338.5920772904,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,US,Meuro,-26125.9071834435,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,WA,Meuro,-19500.9112357492,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,WE,Meuro,-10311.740761884,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,WF,Meuro,-9083.1475174607,tonnes CO2eq,GWP100
v2.1.6,C_ALUW,WL,Meuro,-11548.8245757343,tonnes CO2eq,GWP100
